,Screen Name,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
94,BBC,Fri Apr 06 13:02:05 +0000 2018,"?? From a near-silent horror film to an Australian Western, here are 8 movies worth watching in April. 
?… https://t.co/b15kbsQ7MD",-0.422,0.088,0.171,0.741,96
95,BBC,Fri Apr 06 12:18:09 +0000 2018,RT @BBCOne: For all the drama queens. ? https://t.co/RfdMDieaCZ,0.0,0.0,0.0,1.0,97
96,BBC,Fri Apr 06 12:03:05 +0000 2018,?? Meet the dancers from Lagos who've been tipped for the top by @Rihanna and @NaomiCampbell. https://t.co/3ySZPqcyBr,0.202,0.101,0.0,0.899,98
97,BBC,Fri Apr 06 11:32:15 +0000 2018,"RT @BBCSport: Gareth Evans absolutely loved it! ? 

This is how it felt to win Wales' first gold! ????????

#GC2018 #bbcgoldcoast https://t…",0.862,0.311,0.0,0.689,99
98,BBC,Fri Apr 06 11:00:06 +0000 2018,"??? 
Royal pets are now more synonymous with corgis than wild animals, but historically monarchs would own an array… https://t.co/5VVyiWHPv1",0.0,0.0,0.0,1.0,100
99,BBC,Fri Apr 06 10:10:03 +0000 2018,"? Say hello to Willow the cheetah! 
#BigCatsAboutTheHouse https://t.co/e9xNVjR0gi",0.0,0.0,0.0,1.0,101
100,CBS,Mon Apr 09 17:29:47 +0000 2018,"@edsheeran, @KeshaRose, @HaileeSteinfeld, @ActuallyNPH, and many more describe the impact that the music of Elton J… https://t.co/wBwzWcWGAa",0.0,0.0,0.0,1.0,2
101,CBS,Mon Apr 09 17:00:02 +0000 2018,"Lights will come on for @Jason_Aldean when he takes the stage to perform at the 53rd #ACMawards on Sunday, April 15… https://t.co/qPAbrFp4kQ",0.0,0.0,0.0,1.0,3
102,CBS,Mon Apr 09 15:00:00 +0000 2018,Which state does @reba call home and which song was her first No. 1 single? Test your knowledge of the beloved coun… https://t.co/Sp8icKpFNu,0.273,0.129,0.086,0.784,4
103,CBS,Mon Apr 09 13:36:00 +0000 2018,This just in! Thirteen-time ACM Award® winner @carrieunderwood will be performing her soon-to-be-released single li… https://t.co/GEyjt4lFbb,0.624,0.214,0.0,0.786,5
